Date,Open,High,Low,Close
2019-02-19,13.9874,14.1149,13.9377,14.0871
2019-02-20,14.101,14.2651,14.0697,14.1557
2019-02-21,14.1556,14.1984,13.9331,13.9384
2019-02-22,13.9467,14.0753,13.9467,14.0528
2019-02-25,14.0252,14.1097,13.967,13.9765
2019-02-26,13.9882,14.035,13.8939,13.9783
2019-02-27,13.982,14.2083,13.812,13.8631
2019-02-28,13.8405,13.8808,13.6904,13.7457
2019-03-01,13.7285,13.7522,13.3291,13.336
2019-03-04,13.3713,13.4466,13.2951,13.2986
2019-03-05,13.3005,13.4102,13.2976,13.3805
2019-03-06,13.3844,13.4146,13.2976,13.3277
2019-03-07,13.3351,13.4423,13.2838,13.4181
2019-03-08,13.4274,13.6762,13.4081,13.6652
2019-03-11,13.6275,13.6668,13.538,13.6152
2019-03-12,13.5927,13.7218,13.5888,13.6784
2019-03-13,13.6758,13.7574,13.6272,13.6363
2019-03-14,13.6358,13.644,13.393,13.4345
2019-03-15,13.4308,13.5993,13.418,13.5032
2019-03-18,13.509,13.5925,13.4498,13.5425
2019-03-19,13.5332,13.6045,13.5005,13.5328
2019-03-20,13.5376,13.6044,13.4578,13.5649
2019-03-21,13.5618,13.7042,13.5524,13.6028
2019-03-22,13.5987,13.7339,13.5769,13.6631
2019-03-25,13.6508,13.772,13.6265,13.7363
2019-03-26,13.7366,13.7506,13.6352,13.694
2019-03-27,13.693,13.7433,13.5696,13.5979
2019-03-28,13.5889,13.6278,13.3369,13.3719
2019-03-29,13.3946,13.5388,13.3438,13.4961
2019-04-01,13.4758,13.5377,13.4092,13.4803
2019-04-02,13.4875,13.5009,13.3323,13.4987
2019-04-03,13.4995,13.5487,13.387,13.4736
2019-04-04,13.4647,13.5269,13.3003,13.4767
2019-04-05,13.5015,13.546,13.4311,13.4681
2019-04-08,13.4805,13.5959,13.452,13.5304
2019-04-09,13.5426,13.6018,13.5076,13.5138
2019-04-10,13.5207,13.571,13.4567,13.501
2019-04-11,13.5165,13.5276,13.2417,13.3055
2019-04-12,13.298,13.3551,13.2508,13.2712
2019-04-15,13.262,13.3056,13.1406,13.2699
2019-04-16,13.2645,13.3071,13.1777,13.3005
2019-04-17,13.3003,13.3658,13.2153,13.279
2019-04-18,13.2682,13.3755,13.2237,13.3755
2019-04-22,13.3513,13.4175,13.3205,13.3367
2019-04-23,13.3414,13.3706,13.1491,13.2183
2019-04-24,13.2212,13.4141,13.1931,13.3943
2019-04-25,13.4017,13.4708,13.3495,13.4302
2019-04-26,13.4175,13.5176,13.412,13.5036
2019-04-29,13.5159,13.5249,13.3174,13.3292
2019-04-30,13.3419,13.3888,13.2116,13.3213
2019-05-01,13.3308,13.3382,13.0478,13.1114
2019-05-02,13.1161,13.1413,13.0298,13.0849
2019-05-03,13.095,13.3812,13.0658,13.3221
2019-05-06,13.3415,13.3809,13.2021,13.3045
2019-05-07,13.3042,13.3511,13.2319,13.3315
2019-05-08,13.3211,13.3624,13.2388,13.2692
2019-05-09,13.2566,13.2904,13.1302,13.1695
2019-05-10,13.1566,13.207,13.1152,13.1572
2019-05-13,13.1626,13.17,13.0038,13.1514
2019-05-14,13.1653,13.2506,13.1181,13.2092
2019-05-15,13.1966,13.2609,13.1749,13.2107
2019-05-16,13.2032,13.2273,12.9982,13.0312
2019-05-17,13.0204,13.039,12.8993,12.9291
2019-05-20,12.9105,12.9693,12.8905,12.9498
2019-05-21,12.9477,12.9662,12.8936,12.9568
2019-05-22,12.9445,12.9946,12.911,12.9494
2019-05-23,12.9559,13.1272,12.9323,13.0508
2019-05-24,13.0561,13.0684,12.987,12.9995
2019-05-27,13.0061,13.0664,12.9935,13.0342
2019-05-28,13.0317,13.0494,12.7742,12.8654
2019-05-29,12.8627,12.997,12.8484,12.9445
2019-05-30,12.9497,13.094,12.9007,13.0517
2019-05-31,13.0487,13.1493,12.9913,13.0514
2019-06-03,13.0727,13.2031,13.0539,13.1565
2019-06-04,13.1568,13.1972,13.0546,13.154
2019-06-05,13.1692,13.3245,13.1259,13.1973
2019-06-06,13.2007,13.3189,13.1402,13.2029
2019-06-07,13.2131,13.3613,13.1801,13.2524
2019-06-10,13.2302,13.259,12.9496,12.9952
2019-06-11,13.0026,13.0638,12.9536,13.0213
2019-06-12,13.0204,13.1275,13.0021,13.0959
2019-06-13,13.0958,13.2401,13.0592,13.2211
2019-06-14,13.2205,13.4348,13.2023,13.2597
2019-06-17,13.2703,13.2703,13.1733,13.2278
2019-06-18,13.2335,13.4616,13.2006,13.4091
2019-06-19,13.4178,13.5215,13.3137,13.503
2019-06-20,13.5089,13.7373,13.4622,13.6582
2019-06-21,13.6861,13.7541,13.4114,13.4832
2019-06-24,13.5053,13.5698,13.4378,13.5475
2019-06-25,13.5517,13.6121,13.4603,13.5211
2019-06-26,13.5261,13.5261,13.3659,13.4297
2019-06-27,13.4428,13.453,13.3441,13.422
2019-06-28,13.4229,13.4957,13.3617,13.4641
2019-07-01,13.356,13.5118,13.3049,13.4245
2019-07-02,13.4122,13.5825,13.3214,13.5746
2019-07-03,13.5883,13.6968,13.47,13.5662
2019-07-04,13.5896,13.5978,13.4896,13.5417
2019-07-05,13.5039,13.5905,13.291,13.3795
2019-07-08,13.3601,13.4815,13.332,13.4024
2019-07-09,13.3919,13.5021,13.3507,13.482
2019-07-10,13.4898,13.5881,13.4301,13.542
2019-07-11,13.5439,13.6023,13.4196,13.4305
2019-07-12,13.4357,13.531,13.3845,13.5122
2019-07-15,13.5044,13.6885,13.4625,13.6704
2019-07-16,13.6675,13.9959,13.6076,13.8757
